Model,RMSE,MAE,Accuracy (%),MAPE (%),MAPE Accuracy (%)
Naive Baseline,14.749504089355469,9.720818519592285,80.90411514291506,6.409017086029053,93.59098052978516
HMM,46.502843936931235,32.40770322319076,44.56111899452665,19.231068032370445,80.76893196762956
